Similarity between 25 and 39: 0.49245390806800504, type: <class 'float'>
Similarity between 25 and 41: 0.4984417518412365, type: <class 'float'>
Similarity between 25 and 42: 0.4469865956505189, type: <class 'float'>
Similarity between 25 and 43: 0.47296652091621716, type: <class 'float'>
Similarity between 25 and 45: 0.4474052243589097, type: <class 'float'>
Similarity between 25 and 51: 0.4216843174521349, type: <class 'float'>
Similarity between 25 and 57: 0.5155759133248484, type: <class 'float'>
Similarity between 25 and 58: 0.3821429655349089, type: <class 'float'>
Similarity between 26 and 29: 0.3642336925276547, type: <class 'float'>
Similarity between 26 and 32: 0.3848075065206358, type: <class 'float'>
Similarity between 26 and 33: 0.46950012551374537, type: <class 'float'>
Similarity between 26 and 35: 0.4473763340455752, type: <class 'float'>
Similarity between 26 and 36: 0.43670306328960595, type: <class 'float'>
Similarity between 26 and 37: 0.7260525477386858, type: <class 'float'>
Similarity between 26 and 39: 0.44937315343645995, type: <class 'float'>
Similarity between 26 and 41: 0.5194831137740692, type: <class 'float'>
Similarity between 26 and 42: 0.4398445754140418, type: <class 'float'>
Similarity between 26 and 43: 0.47180271177762134, type: <class 'float'>
Similarity between 26 and 45: 0.4605158351697616, type: <class 'float'>
Similarity between 26 and 51: 0.4530269462564802, type: <class 'float'>
Similarity between 26 and 57: 0.40733660125815885, type: <class 'float'>
Similarity between 26 and 58: 0.47004835384005395, type: <class 'float'>
Similarity between 29 and 32: 0.5219390772439834, type: <class 'float'>
Similarity between 29 and 33: 0.5849910679361279, type: <class 'float'>
Similarity between 29 and 35: 0.7101954311364358, type: <class 'float'>
Similarity between 29 and 36: 0.45807135918865277, type: <class 'float'>
Similarity between 29 and 37: 0.3694586035340239, type: <class 'float'>
Similarity between 29 and 39: 0.4843735760874811, type: <class 'float'>
Similarity between 29 and 41: 0.4679577452294156, type: <class 'float'>
Similarity between 29 and 42: 0.4431895273530783, type: <class 'float'>
Similarity between 29 and 43: 0.48368896152418817, type: <class 'float'>
Similarity between 29 and 45: 0.46716205043656966, type: <class 'float'>
Similarity between 29 and 51: 0.4290859417865052, type: <class 'float'>
Similarity between 29 and 57: 0.6159459222090566, type: <class 'float'>
Similarity between 29 and 58: 0.6142154821294841, type: <class 'float'>
Similarity between 32 and 33: 0.41565252046794104, type: <class 'float'>
Similarity between 32 and 35: 0.5694034358781637, type: <class 'float'>
Similarity between 32 and 36: 0.35142867162828617, type: <class 'float'>
Similarity between 32 and 37: 0.4032636677485043, type: <class 'float'>
Similarity between 32 and 39: 0.3948962064191098, type: <class 'float'>
Similarity between 32 and 41: 0.42254841408328186, type: <class 'float'>
Similarity between 32 and 42: 0.36098093640380424, type: <class 'float'>
Similarity between 32 and 43: 0.4561895362522135, type: <class 'float'>
Similarity between 32 and 45: 0.3595004571006736, type: <class 'float'>
Similarity between 32 and 51: 0.3158050498586445, type: <class 'float'>
Similarity between 32 and 57: 0.4301936648337026, type: <class 'float'>
Similarity between 32 and 58: 0.7016162120892385, type: <class 'float'>
Similarity between 33 and 35: 0.7036527900019811, type: <class 'float'>
Similarity between 33 and 36: 0.4155207743809516, type: <class 'float'>
Similarity between 33 and 37: 0.49038572797689106, type: <class 'float'>
Similarity between 33 and 39: 0.5151145299176686, type: <class 'float'>
Similarity between 33 and 41: 0.5082824153481553, type: <class 'float'>
Similarity between 33 and 42: 0.5093024937084247, type: <class 'float'>
Similarity between 33 and 43: 0.5295473923293845, type: <class 'float'>
Similarity between 33 and 45: 0.4901545124035082, type: <class 'float'>
Similarity between 33 and 51: 0.4196118753329782, type: <class 'float'>
Similarity between 33 and 57: 0.5531196656020827, type: <class 'float'>
Similarity between 33 and 58: 0.4359852755254413, type: <class 'float'>
Similarity between 35 and 36: 0.5084688242627128, type: <class 'float'>
Similarity between 35 and 37: 0.4799487337236761, type: <class 'float'>
Similarity between 35 and 39: 0.5745697398929446, type: <class 'float'>
Similarity between 35 and 41: 0.5814395812689787, type: <class 'float'>
Similarity between 35 and 42: 0.5281058777353632, type: <class 'float'>
Similarity between 35 and 43: 0.5778701421709871, type: <class 'float'>
Similarity between 35 and 45: 0.5483714896868873, type: <class 'float'>
Similarity between 35 and 51: 0.5058423803480296, type: <class 'float'>
Similarity between 35 and 57: 0.6525394421486497, type: <class 'float'>
Similarity between 35 and 58: 0.5656212649006486, type: <class 'float'>
Similarity between 36 and 37: 0.36536040284849924, type: <class 'float'>
Similarity between 36 and 39: 0.7090736935125481, type: <class 'float'>
Similarity between 36 and 41: 0.6533999438435201, type: <class 'float'>
Similarity between 36 and 42: 0.5963846272234303, type: <class 'float'>
Similarity between 36 and 43: 0.543585921648694, type: <class 'float'>
Similarity between 36 and 45: 0.8752356973944291, type: <class 'float'>
Similarity between 36 and 51: 0.43836989749645733, type: <class 'float'>
Similarity between 36 and 57: 0.436453911013427, type: <class 'float'>
Similarity between 36 and 58: 0.4001075649766666, type: <class 'float'>
Similarity between 37 and 39: 0.47405556235050933, type: <class 'float'>
Similarity between 37 and 41: 0.5404972009008153, type: <class 'float'>
Similarity between 37 and 42: 0.44241226983015136, type: <class 'float'>
Similarity between 37 and 43: 0.5150206698745768, type: <class 'float'>
Similarity between 37 and 45: 0.4330261272639675, type: <class 'float'>
Similarity between 37 and 51: 0.42335770615074086, type: <class 'float'>
Similarity between 37 and 57: 0.3858122965717389, type: <class 'float'>
Similarity between 37 and 58: 0.43966598235862575, type: <class 'float'>
Similarity between 39 and 41: 0.7112980649996243, type: <class 'float'>
